| objective_b9b59_00388 | TERMINATED | 10.203.25.110:558716 |   3 |   2 |   3 |      1 |          15.5958 |  22837.5  |
| objective_b9b59_00389 | TERMINATED | 10.203.25.110:558722 |   4 |   2 |   3 |      1 |          14.6255 |  15744.2  |
| objective_b9b59_00390 | TERMINATED | 10.203.25.110:558729 |   5 |   2 |   3 |      1 |          15.2884 |  11038.1  |
| objective_b9b59_00391 | TERMINATED | 10.203.25.110:558704 |   6 |   2 |   3 |      1 |          15.0136 |  11068.6  |
| objective_b9b59_00392 | TERMINATED | 10.203.25.110:558718 |   7 |   2 |   3 |      1 |          14.8066 |  10987.2  |
| objective_b9b59_00393 | TERMINATED | 10.203.25.110:558702 |   8 |   2 |   3 |      1 |          15.0506 |   9849.14 |
| objective_b9b59_00394 | TERMINATED | 10.203.25.110:558720 |   9 |   2 |   3 |      1 |          15.0521 |   8691.53 |
| objective_b9b59_00395 | TERMINATED | 10.203.25.110:558714 |  10 |   2 |   3 |      1 |          15.0917 |   7416.76 |
| objective_b9b59_00396 | TERMINATED | 10.203.25.110:558710 |   0 |   3 |   3 |      1 |          14.4023 | 269939    |
| objective_b9b59_00397 | TERMINATED | 10.203.25.110:558712 |   1 |   3 |   3 |      1 |          15.2178 |   6459.32 |
| objective_b9b59_00398 | TERMINATED | 10.203.25.110:558724 |   2 |   3 |   3 |      1 |          15.4493 |  31974.4  |
| objective_b9b59_00399 | TERMINATED | 10.203.25.110:558708 |   3 |   3 |   3 |      1 |          15.7442 |  31186.4  |
| objective_b9b59_00400 | TERMINATED | 10.203.25.110:558565 |   4 |   3 |   3 |      1 |          16.5714 |  34549.4  |
| objective_b9b59_00401 | TERMINATED | 10.203.25.110:558706 |   5 |   3 |   3 |      1 |          15.335  |  30941.4  |
| objective_b9b59_00402 | TERMINATED | 10.203.25.110:558725 |   6 |   3 |   3 |      1 |          15.9585 |  18405.1  |
| objective_b9b59_00403 | TERMINATED | 10.203.25.110:558728 |   7 |   3 |   3 |      1 |          15.7051 |  16806.5  |
| objective_b9b59_00404 | TERMINATED | 10.203.25.110:558722 |   8 |   3 |   3 |      1 |          15.7566 |  14118.7  |
| objective_b9b59_00405 | TERMINATED | 10.203.25.110:558716 |   9 |   3 |   3 |      1 |          15.9608 |  13158    |
| objective_b9b59_00406 | TERMINATED | 10.203.25.110:558718 |  10 |   3 |   3 |      1 |          15.4811 |  11044.7  |
| objective_b9b59_00407 | TERMINATED | 10.203.25.110:558704 |   0 |   4 |   3 |      1 |          17.4696 | 280874    |
| objective_b9b59_00408 | TERMINATED | 10.203.25.110:558729 |   1 |   4 |   3 |      1 |          15.5757 |  15686.9  |
| objective_b9b59_00409 | TERMINATED | 10.203.25.110:558702 |   2 |   4 |   3 |      1 |          14.895  |  39299.7  |
| objective_b9b59_00410 | TERMINATED | 10.203.25.110:558720 |   3 |   4 |   3 |      1 |          15.2014 |  41433.4  |
