WARNING:jax._src.lib.xla_bridge:No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)

  0%|          | 0/1000 [00:00<?, ?it/s]
loss:   424.0781 | loss_without_regu:   424.0781 | model_e4_train_mse:   424.0781 | train_loss:   424.0781 | :   0%|          | 0/1000 [00:17<?, ?it/s]
loss:   424.0781 | loss_without_regu:   424.0781 | model_e4_train_mse:   424.0781 | train_loss:   424.0781 | :   0%|          | 1/1000 [00:17<4:50:01, 17.42s/it]
loss:     0.7819 | loss_without_regu:     0.7819 | model_e4_train_mse:     0.7819 | train_loss:     0.7819 | :   2%|▏         | 23/1000 [00:54<22:08,  1.36s/it]
loss:     0.7819 | loss_without_regu:     0.7819 | model_e4_train_mse:     0.7819 | train_loss:     0.7819 | :   2%|▏         | 24/1000 [00:54<22:14,  1.37s/it]
loss:     1.1330 | loss_without_regu:     1.1330 | model_e4_train_mse:     1.1330 | train_loss:     1.1330 | :   2%|▏         | 24/1000 [00:55<22:14,  1.37s/it]
loss:     1.1330 | loss_without_regu:     1.1330 | model_e4_train_mse:     1.1330 | train_loss:     1.1330 | :   2%|▎         | 25/1000 [00:55<21:03,  1.30s/it]
loss:     1.0694 | loss_without_regu:     1.0694 | model_e4_train_mse:     1.0694 | train_loss:     1.0694 | :   2%|▎         | 25/1000 [00:56<21:03,  1.30s/it]
loss:     1.0694 | loss_without_regu:     1.0694 | model_e4_train_mse:     1.0694 | train_loss:     1.0694 | :   3%|▎         | 26/1000 [00:56<18:26,  1.14s/it]
loss:     0.7097 | loss_without_regu:     0.7097 | model_e4_train_mse:     0.7097 | train_loss:     0.7097 | :   3%|▎         | 26/1000 [00:56<18:26,  1.14s/it]
loss:     0.7097 | loss_without_regu:     0.7097 | model_e4_train_mse:     0.7097 | train_loss:     0.7097 | :   3%|▎         | 27/1000 [00:56<16:27,  1.01s/it]
loss:     0.7886 | loss_without_regu:     0.7886 | model_e4_train_mse:     0.7886 | train_loss:     0.7886 | :   3%|▎         | 27/1000 [00:57<16:27,  1.01s/it]
loss:     0.7886 | loss_without_regu:     0.7886 | model_e4_train_mse:     0.7886 | train_loss:     0.7886 | :   3%|▎         | 28/1000 [00:57<15:01,  1.08it/s]
loss:     0.7143 | loss_without_regu:     0.7143 | model_e4_train_mse:     0.7143 | train_loss:     0.7143 | :   3%|▎         | 28/1000 [00:58<15:01,  1.08it/s]
loss:     0.7143 | loss_without_regu:     0.7143 | model_e4_train_mse:     0.7143 | train_loss:     0.7143 | :   3%|▎         | 29/1000 [00:58<13:56,  1.16it/s]
loss:     0.8672 | loss_without_regu:     0.8672 | model_e4_train_mse:     0.8672 | train_loss:     0.8672 | :   3%|▎         | 29/1000 [00:59<13:56,  1.16it/s]
loss:     0.8672 | loss_without_regu:     0.8672 | model_e4_train_mse:     0.8672 | train_loss:     0.8672 | :   3%|▎         | 30/1000 [00:59<13:18,  1.21it/s]
loss:     0.7147 | loss_without_regu:     0.7147 | model_e4_train_mse:     0.7147 | train_loss:     0.7147 | :   3%|▎         | 30/1000 [00:59<13:18,  1.21it/s]
loss:     0.7147 | loss_without_regu:     0.7147 | model_e4_train_mse:     0.7147 | train_loss:     0.7147 | :   3%|▎         | 31/1000 [00:59<12:42,  1.27it/s]
loss:     0.7422 | loss_without_regu:     0.7422 | model_e4_train_mse:     0.7422 | train_loss:     0.7422 | :   3%|▎         | 31/1000 [01:00<12:42,  1.27it/s]
